name,size,price,type,ingredients,createdBy,lastModifiedBy,date,time
Firebird,2XL,$41829.02,,,,,,
S80,XL,$36934.79,,,,,,
V8 Vantage,S,$7050.19,,,,,,
Avalon,S,$19056.50,,,,,,
Element,XS,$5598.24,,,,,,
Colorado,2XL,$43943.36,,,,,,
B-Series,2XL,$12467.26,,,,,,
Sprinter,XS,$28804.02,,,,,,
Frontier,2XL,$48540.56,,,,,,
Mariner,XS,$17934.71,,,,,,
Ram Van 3500,L,$5635.12,,,,,,
S4,S,$17396.49,,,,,,
Express 1500,2XL,$7384.60,,,,,,
62,XL,$4600.65,,,,,,
MR2,3XL,$26010.40,,,,,,
Cruze,L,$32883.66,,,,,,
Escalade ESV,S,$20494.04,,,,,,
Mazda3,M,$11314.69,,,,,,
Dakota,M,$36182.89,,,,,,
Alcyone SVX,M,$20546.62,,,,,,
Corolla,S,$33287.20,,,,,,
Probe,S,$45658.21,,,,,,
Carens,S,$35135.22,,,,,,
612 Scaglietti,3XL,$29960.57,,,,,,
Fortwo,3XL,$9106.52,,,,,,
Avalon,L,$23205.37,,,,,,
Caravan,M,$30773.65,,,,,,
MPV,S,$30181.17,,,,,,
Rapide,M,$35494.78,,,,,,
SVX,2XL,$13469.06,,,,,,
F-Series,XS,$28688.54,,,,,,
G35,L,$37373.28,,,,,,
Azure,S,$43591.02,,,,,,
CR-V,M,$36597.44,,,,,,
Z3,XL,$28017.17,,,,,,
XK Series,XL,$44750.17,,,,,,
M-Class,XL,$6306.41,,,,,,
Galant,S,$24203.12,,,,,,
Caravan,XS,$2842.05,,,,,,
S-Type,M,$37740.74,,,,,,
Safari,XS,$45011.46,,,,,,
Taurus,XL,$43916.81,,,,,,
Suburban 2500,2XL,$1718.82,,,,,,
9-3,L,$39713.03,,,,,,
1 Series,S,$13468.47,,,,,,
3500,2XL,$37942.53,,,,,,
4Runner,3XL,$10597.16,,,,,,
Swift,L,$42789.05,,,,,,
tC,2XL,$26153.79,,,,,,
Tercel,3XL,$27604.00,,,,,,
G6,XS,$26248.20,,,,,,
Vantage,L,$38520.17,,,,,,
SLR McLaren,L,$9277.09,,,,,,
Sierra 1500,XS,$15122.80,,,,,,
CX-7,XS,$21746.20,,,,,,
E-Class,S,$1558.77,,,,,,
Daytona,3XL,$1399.23,,,,,,
GTI,3XL,$15639.11,,,,,,
Swift,2XL,$19168.43,,,,,,
300SD,3XL,$28373.90,,,,,,
Focus,3XL,$2016.92,,,,,,
Spectra,2XL,$46823.50,,,,,,
Mighty Max,S,$1630.05,,,,,,
Rodeo,XL,$34670.49,,,,,,
Express 1500,L,$41732.64,,,,,,
626,S,$39781.03,,,,,,
XK Series,2XL,$14503.35,,,,,,
E-Class,L,$23355.64,,,,,,
RX Hybrid,M,$22691.71,,,,,,
Galant,2XL,$17325.42,,,,,,
200SX,L,$41442.05,,,,,,
9-5,S,$13621.20,,,,,,
Swift,3XL,$40541.94,,,,,,
Voyager,M,$9869.26,,,,,,
XC90,S,$15207.16,,,,,,
7 Series,M,$781.04,,,,,,
RDX,M,$8447.56,,,,,,
Sephia,XS,$32681.57,,,,,,
Flex,3XL,$21313.20,,,,,,
Malibu,S,$32123.56,,,,,,
Cavalier,2XL,$27273.21,,,,,,
MP4-12C,3XL,$43445.45,,,,,,
Quest,XS,$5230.48,,,,,,
Yukon XL 2500,XS,$34659.17,,,,,,
Cabriolet,2XL,$22480.99,,,,,,
Sonoma Club Coupe,L,$10505.05,,,,,,
S10,S,$29854.93,,,,,,
Cooper,S,$6610.38,,,,,,
Lumina APV,XS,$24564.40,,,,,,
Karif,S,$15328.76,,,,,,
MPV,2XL,$24919.31,,,,,,
Ram Van 1500,S,$47683.19,,,,,,
GTO,XL,$6833.72,,,,,,
Protege,M,$13136.01,,,,,,
9000,3XL,$32837.32,,,,,,
Corvette,XL,$34404.31,,,,,,
Grand Marquis,XL,$25352.54,,,,,,
Cobalt,2XL,$22585.37,,,,,,
MX-5,XL,$25973.93,,,,,,
Explorer Sport,L,$37205.90,,,,,,
Spectra,XL,$15100.08,,,,,,
Accord,XL,$15374.49,,,,,,
Mazda6,L,$13412.46,,,,,,
6 Series,L,$1064.71,,,,,,
L-Series,L,$36471.37,,,,,,
Dakota,XS,$1448.91,,,,,,
Mazda3,XS,$25816.09,,,,,,
Legacy,XL,$31105.51,,,,,,
Corvette,M,$895.03,,,,,,
100,S,$34460.61,,,,,,
Z4,2XL,$39002.61,,,,,,
SL-Class,L,$27070.64,,,,,,
Civic Si,XS,$43371.85,,,,,,
Torino,M,$46309.69,,,,,,
929,L,$7511.48,,,,,,
LeSabre,3XL,$44977.85,,,,,,
Tacoma,XL,$15991.04,,,,,,
Accord,3XL,$27081.61,,,,,,
R8,L,$21539.91,,,,,,
Colorado,L,$5810.10,,,,,,
Skyhawk,2XL,$46382.50,,,,,,
V8 Vantage,XL,$13187.05,,,,,,
Concorde,XS,$44982.23,,,,,,
Rio,3XL,$10124.21,,,,,,
Concorde,M,$49004.88,,,,,,
Avalanche 2500,2XL,$40427.94,,,,,,
Tercel,2XL,$2091.21,,,,,,
B-Series,2XL,$4612.25,,,,,,
Passat,L,$27477.73,,,,,,
Elantra,L,$41502.69,,,,,,
Cougar,XS,$36254.89,,,,,,
Legend,2XL,$19929.81,,,,,,
911,M,$37689.51,,,,,,
IS,M,$7929.46,,,,,,
Odyssey,XL,$43694.22,,,,,,
Z3,XL,$45085.26,,,,,,
Milan,S,$9271.26,,,,,,
MR2,L,$44589.29,,,,,,
Mustang,L,$32716.72,,,,,,
Impreza,M,$38173.97,,,,,,
Prizm,3XL,$7146.70,,,,,,
MPV,L,$35947.91,,,,,,
Titan,3XL,$37592.89,,,,,,
9000,XS,$47113.91,,,,,,
M3,2XL,$43021.03,,,,,,
Thunderbird,XL,$27424.63,,,,,,
Caliber,XS,$9075.58,,,,,,
Oasis,XL,$24462.23,,,,,,
Crown Victoria,S,$3227.29,,,,,,
430 Scuderia,S,$41002.68,,,,,,
Silverado 1500,M,$48283.77,,,,,,
Acadia,M,$29191.33,,,,,,
Sierra 2500,XL,$24845.68,,,,,,
Accord,3XL,$37518.59,,,,,,
Continental,3XL,$3922.93,,,,,,
Daewoo Lacetti,XL,$453.47,,,,,,
XK,2XL,$16981.23,,,,,,
Explorer,S,$26580.49,,,,,,
Suburban 1500,M,$16132.81,,,,,,
Cougar,XL,$17802.05,,,,,,
Expo,XS,$1390.88,,,,,,
Equinox,XL,$10124.59,,,,,,
Esprit,XL,$40497.63,,,,,,
Monte Carlo,XS,$9642.09,,,,,,
Courier,XS,$38185.37,,,,,,
X6,2XL,$21459.81,,,,,,
Yukon XL 1500,2XL,$36983.13,,,,,,
STS,XS,$3136.59,,,,,,
90,XL,$49599.63,,,,,,
Leganza,XL,$26769.65,,,,,,
M,XS,$41313.27,,,,,,
Quest,L,$44197.32,,,,,,
Paseo,S,$2597.52,,,,,,
Suburban 1500,XS,$43014.71,,,,,,
Regal,3XL,$47932.92,,,,,,
Spectra,3XL,$17602.39,,,,,,
Titan,XS,$16406.97,,,,,,
62,M,$4406.64,,,,,,
Spectra,2XL,$17113.83,,,,,,
X-90,S,$40106.87,,,,,,
Sephia,L,$26100.31,,,,,,
Ramcharger,M,$5611.24,,,,,,
SVX,L,$29658.45,,,,,,
Imperial,XS,$20859.86,,,,,,
CL,3XL,$28245.43,,,,,,
LS,XS,$37567.82,,,,,,
Cooper,M,$15106.41,,,,,,
Ram Van 1500,M,$7695.93,,,,,,
Spider,XS,$20819.99,,,,,,
Civic,XS,$25558.76,,,,,,
G37,XS,$38780.85,,,,,,
Silverado 3500,M,$29614.27,,,,,,
Achieva,S,$39624.08,,,,,,
NSX,M,$4332.29,,,,,,
Thunderbird,XS,$15996.30,,,,,,
Cirrus,L,$27140.33,,,,,,
5000CS Quattro,S,$27444.00,,,,,,
Envoy,2XL,$48934.98,,,,,,
Century,XS,$24535.03,,,,,,
Tacoma,2XL,$466.55,,,,,,
B-Series,S,$17547.48,,,,,,
Suburban 1500,L,$26331.75,,,,,,
Continental GTC,L,$10355.57,,,,,,
GL-Class,S,$26462.85,,,,,,
R8,L,$32282.91,,,,,,
Endeavor,L,$5973.35,,,,,,
Panamera,3XL,$12095.46,,,,,,
TT,XS,$16510.46,,,,,,
Silhouette,M,$13679.88,,,,,,
Ram Van 3500,S,$3235.57,,,,,,
Commander,S,$3306.10,,,,,,
Ridgeline,S,$37496.26,,,,,,
Odyssey,M,$39390.01,,,,,,
Monterey,XS,$17465.41,,,,,,
Sierra 1500,2XL,$38242.74,,,,,,
GTI,2XL,$34484.63,,,,,,
Tacoma Xtra,L,$31214.96,,,,,,
7 Series,S,$10817.45,,,,,,
Defender 90,2XL,$4545.20,,,,,,
Legacy,M,$41945.10,,,,,,
LTD Crown Victoria,XL,$25124.79,,,,,,
Pathfinder,XL,$12034.22,,,,,,
Discovery Series II,2XL,$49673.47,,,,,,
Montana,L,$13862.08,,,,,,
Pacifica,3XL,$22155.24,,,,,,
Outback,XS,$26491.47,,,,,,
Santa Fe,3XL,$13173.41,,,,,,
Tracker,XL,$2016.40,,,,,,
LR2,XL,$13727.01,,,,,,
Prizm,S,$40443.72,,,,,,
Yukon XL 1500,M,$1935.58,,,,,,
Chariot,3XL,$27742.28,,,,,,
Marquis,XL,$22440.61,,,,,,
Mighty Max,S,$888.59,,,,,,
Five Hundred,L,$31244.95,,,,,,
Ion,M,$40532.77,,,,,,
Camry,S,$38464.30,,,,,,
4Runner,3XL,$40283.15,,,,,,
Caravan,XS,$47818.09,,,,,,
Highlander,XL,$32395.59,,,,,,
Sephia,2XL,$2850.43,,,,,,
Tercel,L,$10899.49,,,,,,
CL-Class,XL,$37769.80,,,,,,
Cooper,2XL,$17433.98,,,,,,
Fleetwood,XL,$5972.36,,,,,,
Mirage,S,$6498.54,,,,,,
Pilot,3XL,$10059.39,,,,,,
SC,M,$47821.30,,,,,,
Bonneville,XL,$395.80,,,,,,
300,S,$31651.14,,,,,,
Riviera,L,$5301.58,,,,,,
S-Series,3XL,$23586.71,,,,,,
Mighty Max,M,$29860.01,,,,,,
X6,3XL,$323.76,,,,,,
Discovery,2XL,$37497.18,,,,,,
240,M,$38587.21,,,,,,
IS,3XL,$20782.71,,,,,,
Vandura 2500,S,$42643.17,,,,,,
Rondo,S,$5099.43,,,,,,
928,M,$37288.69,,,,,,
Savana 1500,M,$30975.82,,,,,,
Altima,L,$48074.27,,,,,,
Bravada,3XL,$8960.71,,,,,,
Freelander,S,$31191.46,,,,,,
Sable,M,$31965.89,,,,,,
Crown Victoria,3XL,$6555.30,,,,,,
3500 Club Coupe,S,$1323.30,,,,,,
Impreza,L,$38840.52,,,,,,
VehiCROSS,2XL,$27439.13,,,,,,
E-Class,XS,$39039.81,,,,,,
Galant,XS,$31149.95,,,,,,
LSS,S,$37935.90,,,,,,
Topaz,XS,$35804.06,,,,,,
SL65 AMG,XS,$7539.60,,,,,,
Summit,XL,$25518.50,,,,,,
Taurus,S,$41392.93,,,,,,
Prius,M,$27730.17,,,,,,
Mariner,S,$49207.31,,,,,,
Lucerne,3XL,$3951.53,,,,,,
Grand Caravan,L,$36422.25,,,,,,
A6,S,$39484.08,,,,,,
Impala,3XL,$24921.27,,,,,,
Bonneville,M,$9556.07,,,,,,
SRX,2XL,$8935.23,,,,,,
Escalade ESV,S,$28854.75,,,,,,
Sierra 2500,L,$5908.26,,,,,,
Xterra,XS,$11038.73,,,,,,
7 Series,3XL,$3817.84,,,,,,
Expedition,2XL,$24973.23,,,,,,
SLS AMG,M,$5373.49,,,,,,
Breeze,XS,$48636.03,,,,,,
900,3XL,$28415.93,,,,,,
3 Series,S,$17772.17,,,,,,
LTD,XL,$13466.78,,,,,,
Sky,XS,$46264.84,,,,,,
Avalanche 1500,3XL,$31415.67,,,,,,
Savana 1500,XL,$30739.18,,,,,,
RX-7,XS,$15918.50,,,,,,
Mustang,XS,$6832.28,,,,,,
New Beetle,S,$26043.85,,,,,,
F250,S,$25750.47,,,,,,
LUV,M,$42062.48,,,,,,
Skyhawk,S,$26596.77,,,,,,
Yukon XL 2500,2XL,$22732.41,,,,,,
Continental,2XL,$43254.04,,,,,,
V70,XL,$44098.15,,,,,,
Pilot,L,$7416.93,,,,,,
Camaro,S,$37723.12,,,,,,
V70,3XL,$31622.78,,,,,,
Hearse,XS,$18434.27,,,,,,
Charade,3XL,$7273.80,,,,,,
300M,S,$21279.56,,,,,,
1500,L,$19115.64,,,,,,
Bronco,M,$41453.65,,,,,,
Matrix,2XL,$18230.44,,,,,,
E-Series,3XL,$42663.83,,,,,,
XL-7,L,$26747.09,,,,,,
Montana SV6,M,$17179.05,,,,,,
Tempo,XS,$16056.37,,,,,,
Outlander Sport,2XL,$33729.26,,,,,,
Galant,3XL,$1892.51,,,,,,
Metro,2XL,$48166.56,,,,,,
Tucson,XS,$47085.65,,,,,,
Tempest,S,$47467.99,,,,,,
Prelude,3XL,$12917.90,,,,,,
Mountaineer,XL,$39685.40,,,,,,
Sunbird,3XL,$30562.79,,,,,,
Skyhawk,3XL,$6544.55,,,,,,
Liberty,2XL,$48798.69,,,,,,
300CE,M,$26915.79,,,,,,
rio,XS,$35152.45,,,,,,
Civic,3XL,$39117.47,,,,,,
rio,XL,$26818.25,,,,,,
Sportvan G30,XL,$34477.35,,,,,,
Taurus,3XL,$39519.41,,,,,,
Park Avenue,L,$41921.99,,,,,,
Type 2,2XL,$18454.19,,,,,,
Suburban,XS,$40003.47,,,,,,
Town Car,2XL,$6310.77,,,,,,
Metro,S,$41049.62,,,,,,
Elan,3XL,$11410.97,,,,,,
Cougar,3XL,$3659.34,,,,,,
Rogue,3XL,$13861.92,,,,,,
Envoy XUV,L,$38065.69,,,,,,
Town & Country,XS,$546.56,,,,,,
Cayenne,M,$8647.18,,,,,,
2500,XL,$40292.85,,,,,,
Stratus,XL,$33361.47,,,,,,
Millenia,M,$16826.98,,,,,,
Laser,3XL,$11530.03,,,,,,
Ion,3XL,$37663.77,,,,,,
MPV,M,$8478.83,,,,,,
Expedition EL,3XL,$34742.74,,,,,,
Caliber,L,$33459.86,,,,,,
E-Class,XS,$10477.37,,,,,,
Sierra 1500,S,$13663.47,,,,,,
9-5,L,$25346.65,,,,,,
Pilot,XL,$23829.93,,,,,,
F250,L,$26883.51,,,,,,
TundraMax,XL,$32395.41,,,,,,
E-350 Super Duty Van,XS,$5377.54,,,,,,
Ram 2500,2XL,$26374.01,,,,,,
C-Class,XS,$14462.88,,,,,,
LSS,XL,$13877.24,,,,,,
Solstice,XL,$11161.97,,,,,,
X3,3XL,$12777.22,,,,,,
Viper,XS,$43656.56,,,,,,
Silverado,3XL,$22831.74,,,,,,
Aerio,2XL,$22978.35,,,,,,
Z8,S,$47272.36,,,,,,
7 Series,XL,$12813.99,,,,,,
Daewoo Magnus,XS,$37320.18,,,,,,
164,S,$3830.95,,,,,,
Achieva,M,$35581.80,,,,,,
Caravan,S,$15830.07,,,,,,
Explorer,M,$48873.36,,,,,,
Monte Carlo,2XL,$4447.89,,,,,,
88,XL,$14685.34,,,,,,
T100,3XL,$18258.08,,,,,,
i-MiEV,XL,$24968.73,,,,,,
Econoline E150,XL,$20250.90,,,,,,
Concorde,XL,$17228.80,,,,,,
L300,XL,$4261.12,,,,,,
300,2XL,$24103.33,,,,,,
S-Class,2XL,$9627.86,,,,,,
Ram Van 1500,3XL,$42060.17,,,,,,
Excel,M,$1243.49,,,,,,
Savana 3500,3XL,$38207.84,,,,,,
Highlander,XS,$4139.67,,,,,,
Soul,2XL,$41130.21,,,,,,
Suburban 2500,M,$748.47,,,,,,
Brat,3XL,$47170.32,,,,,,
Optima,XS,$39619.98,,,,,,
300ZX,M,$10114.31,,,,,,
Suburban 2500,2XL,$11191.07,,,,,,
Econoline E250,XS,$41270.08,,,,,,
GranTurismo,S,$10265.36,,,,,,
W201,S,$16006.92,,,,,,
Prius,XS,$22190.86,,,,,,
Express 2500,M,$41683.96,,,,,,
Sable,3XL,$30820.13,,,,,,
Fox,XS,$34286.72,,,,,,
RL,L,$37674.53,,,,,,
Regal,S,$13345.46,,,,,,
XC90,XS,$38308.59,,,,,,
Mazda3,XL,$5235.18,,,,,,
A6,2XL,$18378.35,,,,,,
Colorado,2XL,$44491.97,,,,,,
Celica,M,$39067.05,,,,,,
Tracker,XS,$335.65,,,,,,
Phaeton,M,$43111.46,,,,,,
MKX,L,$18783.51,,,,,,
Sedona,L,$14877.52,,,,,,
Yukon,2XL,$26517.55,,,,,,
Sonata,2XL,$10336.30,,,,,,
Quattro,L,$34946.41,,,,,,
Town Car,XL,$596.35,,,,,,
Camaro,L,$8560.84,,,,,,
EXP,M,$23650.75,,,,,,
G,3XL,$19882.24,,,,,,
DeVille,3XL,$37709.25,,,,,,
Maxima,3XL,$7685.06,,,,,,
E150,M,$2549.35,,,,,,
SL-Class,XS,$22898.58,,,,,,
Eclipse,XL,$38132.41,,,,,,
Montana,XS,$8789.19,,,,,,
F-Series,L,$37013.23,,,,,,
Monaco,3XL,$40746.45,,,,,,
SJ,2XL,$16713.79,,,,,,
Eurovan,2XL,$11465.13,,,,,,
Eurovan,2XL,$21058.04,,,,,,
300SD,XS,$21395.62,,,,,,
riolet,M,$12905.75,,,,,,
911,XS,$9139.63,,,,,,
E-Class,2XL,$21086.91,,,,,,
V50,XL,$39537.12,,,,,,
Savana 1500,M,$27376.21,,,,,,
Tundra,XL,$31351.64,,,,,,
Tahoe,M,$37347.60,,,,,,
Miata MX-5,3XL,$38338.73,,,,,,
911,S,$16340.72,,,,,,
Integra,XS,$4664.76,,,,,,
Titan,3XL,$26999.56,,,,,,
Blazer,XL,$10544.94,,,,,,
62,S,$23221.62,,,,,,
XL-7,S,$9100.49,,,,,,
2500,S,$2848.22,,,,,,
Grand Marquis,M,$29307.07,,,,,,
Expedition,M,$42971.11,,,,,,
Voyager,L,$10784.35,,,,,,
Lancer,3XL,$34017.84,,,,,,
Jimmy,L,$15556.27,,,,,,
Civic,M,$13590.43,,,,,,
Prizm,2XL,$24243.96,,,,,,
Grand Prix,3XL,$25052.91,,,,,,
Quest,2XL,$14111.40,,,,,,
500E,3XL,$32634.92,,,,,,
Sedona,3XL,$3303.74,,,,,,
Corolla,S,$14024.20,,,,,,
Cayenne,XL,$4539.12,,,,,,
Leganza,2XL,$32226.24,,,,,,
NX,XL,$49677.48,,,,,,
Fusion,M,$25725.56,,,,,,
E-Class,3XL,$1223.56,,,,,,
Mariner,L,$35986.27,,,,,,
Quattro,S,$42910.51,,,,,,
Typ-1,XS,$30308.12,,,,,,
MX-5,M,$40030.25,,,,,,
Ram 1500,3XL,$8243.86,,,,,,
Savana 3500,S,$9266.69,,,,,,
Aerio,S,$16382.01,,,,,,
H2,2XL,$47337.32,,,,,,
GTI,XL,$47781.67,,,,,,
SC,3XL,$13157.09,,,,,,
Focus,S,$2069.33,,,,,,
370Z,M,$3331.82,,,,,,
760,M,$8063.11,,,,,,
XLR,3XL,$18893.63,,,,,,
Trooper,2XL,$28448.29,,,,,,
Vitara,XL,$41211.05,,,,,,
Precis,S,$38539.86,,,,,,
Forester,3XL,$29192.98,,,,,,
Grand Voyager,XS,$35272.10,,,,,,
ES,S,$11274.24,,,,,,
Suburban 1500,L,$30474.12,,,,,,
Catera,XS,$14666.75,,,,,,
Envoy,XL,$5853.63,,,,,,
Enclave,2XL,$24690.48,,,,,,
Prizm,XS,$16809.73,,,,,,
Bonneville,XL,$46454.91,,,,,,
Allroad,3XL,$10736.29,,,,,,
Express 3500,S,$3063.58,,,,,,
Sedona,2XL,$30952.75,,,,,,
Malibu,S,$48859.66,,,,,,
Cutlass Cruiser,XS,$19209.50,,,,,,
Grand Cherokee,S,$11288.63,,,,,,
Silverado 3500,XL,$461.38,,,,,,
3000GT,2XL,$24453.45,,,,,,
Accent,3XL,$14184.37,,,,,,
Sonoma,M,$19026.69,,,,,,
Suburban 1500,2XL,$30941.88,,,,,,
Tahoe,XL,$29640.10,,,,,,
V70,XL,$3172.98,,,,,,
Cooper,2XL,$4949.28,,,,,,
Continental GT,2XL,$18133.62,,,,,,
Sierra 1500,M,$20946.64,,,,,,
940,XL,$47437.22,,,,,,
Galant,XS,$14273.22,,,,,,
H3,L,$56.84,,,,,,
Town Car,M,$33879.68,,,,,,
Skylark,S,$24359.96,,,,,,
Outlook,2XL,$10609.80,,,,,,
Vibe,2XL,$1757.90,,,,,,
Sephia,S,$11705.32,,,,,,
Land Cruiser,3XL,$42966.69,,,,,,
Express 1500,L,$36040.76,,,,,,
Charger,3XL,$223.24,,,,,,
Z3,2XL,$30413.72,,,,,,
Phaeton,XS,$48371.23,,,,,,
Ranger,M,$37843.08,,,,,,
Legacy,XS,$30383.91,,,,,,
Tracker,L,$46162.22,,,,,,
Typ-1,3XL,$7833.55,,,,,,
Cayman,M,$31655.35,,,,,,
Crown Victoria,M,$5578.27,,,,,,
X6,L,$6514.07,,,,,,
Vitara,M,$34540.17,,,,,,
Allroad,XS,$29791.22,,,,,,
100,XS,$13652.40,,,,,,
New Yorker,S,$17695.69,,,,,,
Rally Wagon G3500,3XL,$875.84,,,,,,
Silverado 3500,L,$40014.66,,,,,,
MDX,M,$21307.16,,,,,,
SX4,3XL,$48837.26,,,,,,
944,3XL,$37939.58,,,,,,
Impreza,XL,$20189.11,,,,,,
A6,2XL,$5350.94,,,,,,
M5,XL,$14251.52,,,,,,
Intrepid,L,$20361.67,,,,,,
Continental GT,3XL,$43391.37,,,,,,
RAV4,XL,$37819.34,,,,,,
Suburban 1500,2XL,$9272.37,,,,,,
LR3,2XL,$44787.92,,,,,,
Avalon,S,$43180.03,,,,,,
Suburban 1500,S,$3934.05,,,,,,
Swift,L,$2393.84,,,,,,
Savana 2500,2XL,$2330.99,,,,,,
Challenger,3XL,$10558.61,,,,,,
EXP,XL,$34697.35,,,,,,
Avenger,2XL,$15438.07,,,,,,
MPV,L,$33152.26,,,,,,
C8,2XL,$32444.55,,,,,,
RS6,2XL,$28863.40,,,,,,
SX4,S,$15805.09,,,,,,
Taurus,3XL,$9085.44,,,,,,
Exige,S,$1091.23,,,,,,
88,XS,$6598.01,,,,,,
Expedition,L,$35840.09,,,,,,
Montero Sport,L,$14105.50,,,,,,
Silverado,M,$32804.30,,,,,,
Colt Vista,3XL,$16712.27,,,,,,
Swift,M,$27765.24,,,,,,
Elantra,XS,$11341.09,,,,,,
Riviera,S,$29931.66,,,,,,
Range Rover,S,$22353.94,,,,,,
Suburban 1500,L,$30669.61,,,,,,
LaCrosse,XS,$49559.11,,,,,,
Aveo,XS,$45782.61,,,,,,
I,XL,$7244.18,,,,,,
IS,2XL,$27921.13,,,,,,
Escape,M,$4634.10,,,,,,
Sierra 1500,XL,$42005.87,,,,,,
Avalon,M,$9566.61,,,,,,
Mirage,M,$3195.89,,,,,,
G,3XL,$12278.42,,,,,,
Jimmy,3XL,$42266.75,,,,,,
Hombre,M,$44793.48,,,,,,
Rio5,3XL,$8180.54,,,,,,
911,L,$11454.24,,,,,,
Tribute,S,$41141.02,,,,,,
Sebring,2XL,$49206.37,,,,,,
D150 Club,XL,$5823.48,,,,,,
Cougar,3XL,$17149.83,,,,,,
Montana,2XL,$41203.70,,,,,,
F350,3XL,$40144.52,,,,,,
XLR,XS,$8730.87,,,,,,
Ranger,S,$39617.18,,,,,,
A8,XL,$11246.78,,,,,,
Corvette,L,$13736.79,,,,,,
Pajero,M,$16385.81,,,,,,
